"id","Date","APPLICATION","OFFERED","ANSWERED","AVG ANS DELAY","AVG ANS DELAY SECONDS","MAX ANS DELAY","ABANDONED","DelayCallsProduct"
"2019-11-05-dba_cs_268_5311_gen_inq_script","2019/11/05","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-06-dba_cs_268_5311_gen_inq_script","2019/11/06","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-07-dba_cs_268_5311_gen_inq_script","2019/11/07","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-08-dba_cs_268_5311_gen_inq_script","2019/11/08","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-11-dba_cs_268_5311_gen_inq_script","2019/11/11","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-12-dba_cs_268_5311_gen_inq_script","2019/11/12","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-13-dba_cs_268_5311_gen_inq_script","2019/11/13","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-14-dba_cs_268_5311_gen_inq_script","2019/11/14","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-15-dba_cs_268_5311_gen_inq_script","2019/11/15","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-18-dba_cs_268_5311_gen_inq_script","2019/11/18","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-19-dba_cs_268_5311_gen_inq_script","2019/11/19","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-20-dba_cs_268_5311_gen_inq_script","2019/11/20","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-21-dba_cs_268_5311_gen_inq_script","2019/11/21","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-22-dba_cs_268_5311_gen_inq_script","2019/11/22","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-25-dba_cs_268_5311_gen_inq_script","2019/11/25","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-26-dba_cs_268_5311_gen_inq_script","2019/11/26","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-27-dba_cs_268_5311_gen_inq_script","2019/11/27","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-28-dba_cs_268_5311_gen_inq_script","2019/11/28","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
"2019-11-29-dba_cs_268_5311_gen_inq_script","2019/11/29","dba_cs_268_5311_gen_inq_script","0","0","00:00:00","0","00:00:00","0","0"
